factor,coverage,n_triggered,precision_lift,mean_outperform,effect_d,auc_upset,roi_tansho,roi_fukusho,chi2_p,category,description,expected_dir
F306_season_pr_high,0.21068561188638513,29863,1.0584566556074575,-0.6451461674982419,-0.22312636638574707,0.5068928812540691,29.03258212503767,28.378930449050664,8.950198942161046e-05,I_ローテクラス,季節成績連対率30%以上,1
F336_idm1_unpop,0.011344555601021574,1608,1.6973974917629955,-1.1082089552238805,-0.2928019769796718,0.5044279205826222,25.9452736318408,26.225124378109456,3.832002834292085e-22,A_JRDB指数乖離,IDMレース内1位×人気薄,1
F337_idm_top25_unpop,0.05656756642350186,8018,1.9067693573525213,-0.3084310301820903,-0.09810807933422924,0.5287075602434357,29.880269393863806,32.51933150411574,3.864841205094123e-183,A_JRDB指数乖離,IDM上位25%×人気薄,1
F345_cid_top_unpop,0.04767817584061181,6758,1.9555522180954172,-1.216484166913288,-0.33263749559631406,0.5254979937214279,26.648416691328798,28.293873927197392,6.14973842521932e-170,A_JRDB指数乖離,CID上位3×人気薄,1
F347_agari1_unpop,0.03303890166640798,4683,1.6022948644427253,0.2575272261370916,0.04833310287465929,0.5111369614237752,22.376681614349774,28.45184710655563,2.310419346811687e-47,A_JRDB指数乖離,上がり指数1位×人気薄,1
F348_ten1_unpop,0.041519098079609434,5885,1.5459729066864327,-0.3874256584536958,-0.11685546112937753,0.5126867667845284,31.04672897196262,28.598130841121495,2.7555893978471894e-49,A_JRDB指数乖離,テン指数1位×人気薄,1
F349_pace1_unpop,0.03698974192547022,5243,1.5903712449491505,-0.42914362006484835,-0.12697083385841382,0.5122218922738229,25.96795727636849,25.54644287621591,4.9854900458189015e-51,A_JRDB指数乖離,ペース指数1位×人気薄,1
F361_prev_fav1_flop,0.010074642660608712,1428,1.6946035428464663,-1.3403361344537814,-0.35020223301750797,0.5039165042216882,40.80532212885154,30.37114845938375,1.1840212402137077e-19,I_ローテクラス,前走1番人気4着以下→人気急落,1
F367_alternating,0.08430810909963173,11950,1.1812592060176623,-0.5994979079497907,-0.17949635111653897,0.5085526633179779,25.435983263598327,26.190794979079495,9.487815924061882e-13,I_ローテクラス,好走凡走交互パターン,1
F370_agari_top_outside,0.0695841740627337,9863,1.1687441801274603,0.5457771469127041,0.12653160312640893,0.5065716017081148,27.352732434350603,29.133123796005272,2.164299677791515e-09,D_タイム,前走上がりトップ×着外,1
F383_avg_finish_unpop,0.07632882279070424,10819,1.7061396849483128,-0.5050374341436362,-0.15268482099484784,0.5301655423337905,20.663647287179963,24.3479064608559,2.0552859982924516e-153,D_タイム,近5走平均4着以内×人気薄,1
F384_good_form_overval,0.12805660989685486,18151,0.8929348904413097,-1.561236295520908,-0.46520754501125794,0.49232670455816246,24.987053054928104,25.75119828108644,1.0178813375022406e-07,D_タイム,近5走3着以内3回=好調織り込み済み,-1
